17,90	29,72	14,28	43,41
34,71	18,42	23,48	36,83
21,61	44,38	28,96	38,12
15,27	12,85	34,63	42,04
32,33	38,11	25,92	31,72
48,73	47,92	23,26	2,43
24,24	33,01	14,92	32,16
34,25	23,42	23,43	32,55
41,78	21,94	25,27	24,83
22,43	23,00	25,00	42,13
42,04	16,05	26,68	26,34
38,32	26,28	32,45	28,73
27,92	29,33	35,78	26,30
24,39	22,22	19,58	39,33
17,97	10,02	14,61	41,11
38,29	39,37	16,09	19,01
39,67	47,70	34,03	16,06
3,69	21,69	207,1	450,9
22,16	48,17	23,84	32,72
36,32	40,79	23,59	17,99
36,05	47,49	20,69	27,19
16,38	27,02	19,70	43,75
29,89	33,52	27,83	33,27
15,33	38,54	19,34	39,04
20,28	16,46	45,31	37,40
24,09	34,99	34,28	360,2
21,39	30,85	14,55	35,62
38,88	22,14	23,95	28,09
36,54	10,07	24,43	30,19
21,28	23,52	31,13	36,07
-,52	32,33	28,11	42,71
12,48	29,55	20,38	46,21
7,36	31,75	22,94	45,91
24,48	45,54	17,70	26,49
32,91	21,65	9,25	34,87
42,84	26,34	33,23	18,11
24,48	16,50	28,84	37,95
39,84	34,78	29,47	24,06
17,17	28,84	28,10	42,87
36,87	40,37	16,74	20,43
33,01	22,60	21,64	34,02
23,82	22,03	28,43	42,44
21,89	32,61	20,87	40,41
17,19	35,41	27,54	35,50
23,95	24,05	22,79	36,86
32,95	8,14	31,01	33,89
20,55	26,96	17,04	38,28
41,70	29,77	19,02	25,61
45,37	32,73	25,36	17,70
31,53	27,29	30,21	36,26
